DATASET = INSTANCE_1

DAYS = 20
TRUCK_CAPACITY = 120
TRUCK_MAX_DISTANCE = 1000
VAN_CAPACITY = 30
VAN_MAX_DISTANCE = 1000

TRUCK_DISTANCE_COST = 20
TRUCK_DAY_COST = 200
TRUCK_COST = 0
VAN_DISTANCE_COST = 10
VAN_DAY_COST = 100
VAN_COST = 0

DELIVER_EARLY_PENALTY = 0

PRODUCTS = 1
1 11

HUBS = 2
1 0 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2 0 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50

LOCATIONS = 23
1 0 0
2 18 88
3 91 27
4 40 19
5 44 8
6 5 84
7 56 89
8 99 13
9 95 14
10 34 35
11 17 5
12 67 73
13 17 84
14 39 91
15 98 74
16 40 83
17 80 84
18 16 80
19 84 89
20 82 40
21 71 2
22 60 79
23 61 71

REQUESTS = 50
1 1 20 8
2 1 6 4
3 2 23 1
4 2 8 2
5 2 15 7
6 3 22 7
7 3 13 7
8 3 7 6
9 4 21 9
10 4 22 6
11 4 6 1
12 4 11 5
13 4 12 1
14 5 23 7
15 5 19 1
16 5 5 3
17 6 7 3
18 6 23 8
19 6 13 1
20 8 21 1
21 8 15 4
22 8 9 8
23 9 7 7
24 10 15 5
25 10 22 7
26 12 4 6
27 12 22 3
28 13 10 2
29 13 4 6
30 14 14 6
31 14 15 2
32 14 21 2
33 15 5 2
34 15 6 5
35 15 16 2
36 16 13 9
37 16 6 9
38 16 16 8
39 17 12 5
40 17 17 6
41 17 5 8
42 18 17 2
43 18 19 5
44 19 5 8
45 19 16 9
46 20 11 4
47 20 15 7
48 20 7 4
49 20 8 7
50 20 5 1
