DATASET = INSTANCE_12

DAYS = 20
TRUCK_CAPACITY = 120
TRUCK_MAX_DISTANCE = 1000
VAN_CAPACITY = 30
VAN_MAX_DISTANCE = 1000

TRUCK_DISTANCE_COST = 20
TRUCK_DAY_COST = 200
TRUCK_COST = 0
VAN_DISTANCE_COST = 10
VAN_DAY_COST = 100
VAN_COST = 0

DELIVER_EARLY_PENALTY = 5

PRODUCTS = 1
1 11

HUBS = 2
1 0 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
2 0 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200

LOCATIONS = 23
1 63 92
2 98 30
3 52 33
4 39 64
5 18 98
6 14 60
7 19 29
8 25 29
9 5 74
10 65 15
11 34 64
12 63 94
13 3 41
14 67 83
15 55 53
16 32 91
17 93 78
18 61 7
19 53 3
20 12 27
21 28 46
22 81 24
23 50 83

REQUESTS = 200
1 1 4 4
2 1 22 3
3 1 12 9
4 1 23 9
5 1 22 8
6 1 16 2
7 1 7 4
8 1 6 1
9 1 11 9
10 1 6 3
11 1 8 2
12 2 12 5
13 2 12 6
14 2 5 2
15 2 12 9
16 2 11 8
17 3 9 6
18 3 5 7
19 3 12 6
20 3 20 7
21 3 22 7
22 4 9 5
23 4 9 1
24 4 6 4
25 4 5 7
26 4 16 7
27 4 16 7
28 4 22 9
29 4 21 8
30 4 19 2
31 4 22 7
32 4 21 5
33 4 22 5
34 4 4 3
35 4 10 4
36 4 13 9
37 4 22 1
38 4 23 2
39 4 23 5
40 5 22 8
41 5 20 1
42 5 9 6
43 5 12 3
44 5 17 7
45 5 22 7
46 5 20 5
47 5 11 8
48 5 12 6
49 5 17 1
50 5 20 6
51 6 19 7
52 6 7 8
53 6 16 6
54 6 10 3
55 6 18 2
56 6 23 6
57 6 17 1
58 6 16 3
59 6 4 3
60 7 19 8
61 7 6 2
62 7 22 9
63 7 7 6
64 7 8 4
65 7 18 2
66 7 21 8
67 7 5 6
68 7 23 5
69 7 20 8
70 8 22 5
71 8 13 4
72 8 5 8
73 8 14 9
74 8 12 1
75 8 14 3
76 8 10 7
77 8 13 3
78 9 19 7
79 9 16 8
80 9 22 9
81 9 10 4
82 9 5 9
83 9 9 3
84 9 16 2
85 9 8 4
86 9 14 6
87 9 16 5
88 9 6 7
89 9 12 4
90 10 22 4
91 10 9 8
92 10 13 8
93 10 20 9
94 10 22 1
95 10 8 9
96 11 9 6
97 11 5 4
98 11 13 2
99 11 7 4
100 12 4 5
101 12 22 8
102 12 4 8
103 12 4 3
104 12 19 4
105 12 10 9
106 12 22 1
107 12 17 6
108 12 21 7
109 12 10 1
110 12 15 3
111 12 14 6
112 13 4 4
113 13 12 6
114 13 12 2
115 13 18 3
116 13 13 7
117 13 5 9
118 13 23 9
119 13 16 9
120 13 17 1
121 13 18 6
122 14 6 4
123 14 19 3
124 14 20 6
125 14 17 3
126 14 6 1
127 14 7 9
128 14 8 5
129 14 17 2
130 15 11 3
131 15 23 7
132 15 17 7
133 15 15 7
134 15 19 7
135 15 21 8
136 15 20 2
137 15 12 7
138 15 22 4
139 15 15 2
140 16 20 9
141 16 16 9
142 16 7 6
143 16 20 5
144 16 11 6
145 16 22 2
146 16 14 1
147 16 10 4
148 16 4 7
149 17 12 1
150 17 20 8
151 17 23 8
152 17 5 2
153 17 21 3
154 17 15 7
155 17 4 2
156 17 22 2
157 17 4 3
158 17 13 1
159 17 12 3
160 17 7 3
161 18 17 9
162 18 8 2
163 18 11 9
164 18 18 6
165 18 6 8
166 18 14 7
167 18 5 3
168 18 9 7
169 19 19 8
170 19 16 8
171 19 5 7
172 19 9 5
173 19 12 8
174 19 4 2
175 19 17 4
176 19 10 8
177 19 20 1
178 19 9 6
179 19 6 1
180 19 7 2
181 19 5 4
182 19 18 6
183 19 23 4
184 20 6 8
185 20 10 9
186 20 5 7
187 20 18 1
188 20 6 7
189 20 19 9
190 20 22 6
191 20 9 8
192 20 18 3
193 20 15 3
194 20 7 8
195 20 18 6
196 20 6 7
197 20 6 6
198 20 9 5
199 20 22 6
200 20 6 3
