DATASET = CO2022_11 
 
DAY = 1 
NUMBER_OF_TRUCKS = 1 
1 H7 1,4,6 H6 2,3,0 H13 0,2,13 H12 8,5,0 H3 0,0,9 H20 11,2,8 H17 0,9,8 H1 0,8,6 H16 0,7,5 H4 8,1,0 H15 7,9,0 
NUMBER_OF_VANS = 5 
1 H7 5 
2 H12 2 
3 H15 4 
4 H16 1 
5 H20 3 

DAY = 2 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 4 
1 H1 6 
2 H3 7 
3 H13 9 
4 H20 8 

DAY = 3 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 2 
1 H7 10 
2 H17 11 

DAY = 4 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 3 
1 H4 14 
2 H6 13 
3 H13 12 

DAY = 5 
NUMBER_OF_TRUCKS = 1 
1 H14 0,0,3 H6 0,10,12 H19 4,5,0 H13 0,9,6 H3 8,10,4 H12 6,0,8 H9 8,1,0 H17 7,1,0 H18 9,8,22 H1 9,6,0 H2 9,6,9 H4 9,0,7 H15 2,5,6 
NUMBER_OF_VANS = 1 
1 H2 15 

DAY = 6 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 7 
1 H1 19 
2 H2 20 
3 H3 23 
4 H6 17 21 
5 H12 16 22 
6 H15 24 
7 H18 18 25 

DAY = 7 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 5 
1 H2 26 
2 H3 28 
3 H9 29 
4 H13 27 
5 H14 30 

DAY = 8 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 6 
1 H3 36 
2 H4 33 
3 H15 31 
4 H17 34 
5 H18 35 
6 H19 32 

DAY = 9 
NUMBER_OF_TRUCKS = 1 
1 H14 5,8,7 H7 7,0,7 H12 20,0,18 H20 7,9,0 H17 0,8,0 H10 5,0,3 H8 3,0,9 H1 6,0,0 H4 29,7,10 H15 5,0,3 
NUMBER_OF_VANS = 6 
1 H1 37 
2 H4 39 40 
3 H10 41 
4 H12 42 
5 H15 38 
6 H20 43 

DAY = 10 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 5 
1 H4 46 
2 H10 47 
3 H12 45 
4 H14 48 
5 H17 44 

DAY = 11 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 3 
1 H4 50 
2 H12 51 
3 H14 49 

DAY = 12 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 5 
1 H4 54 56 
2 H7 53 
3 H8 55 
4 H12 52 
5 H20 57 

DAY = 13 
NUMBER_OF_TRUCKS = 1 
1 H15 6,3,0 H4 8,10,0 H1 0,5,11 H18 3,4,0 H17 15,1,8 H3 0,2,0 H11 6,8,0 H13 8,1,6 H7 15,0,10 H14 8,0,7 
NUMBER_OF_VANS = 3 
1 H3 58 
2 H7 60 61 
3 H11 59 

DAY = 14 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 4 
1 H4 63 
2 H13 65 
3 H14 62 
4 H18 64 

DAY = 15 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 6 
1 H1 66 
2 H4 67 
3 H7 69 
4 H13 71 
5 H15 70 
6 H17 68 

DAY = 16 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 2 
1 H1 72 
2 H17 73 

DAY = 17 
NUMBER_OF_TRUCKS = 1 
1 H14 23,14,9 H5 0,9,5 H7 0,7,1 H13 11,18,9 H3 0,5,15 H20 2,14,2 H9 9,0,4 H17 1,0,2 H10 6,9,12 H18 4,0,9 H16 8,0,1 H2 0,0,9 H4 1,6,10 H15 6,0,1 
NUMBER_OF_VANS = 4 
1 H3 74 
2 H4 76 
3 H10 77 
4 H15 75 

DAY = 18 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 6 
1 H5 81 
2 H7 82 
3 H13 80 
4 H14 79 
5 H18 83 
6 H20 78 84 

DAY = 19 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 4 
1 H2 86 
2 H4 87 
3 H14 85 88 
4 H17 89 

DAY = 20 
NUMBER_OF_TRUCKS = 0 
NUMBER_OF_VANS = 7 
1 H3 92 
2 H9 91 
3 H10 90 98 
4 H13 95 97 99 
5 H14 93 100 
6 H16 94 
7 H20 96 

